sheet_code,originator,transect_ID,NCDOT_transect,sample_ID,sample_date,year,season,ghost_crabs,sm_mole_crabs,md_mole_crabs,lg_mole_crabs,coquina_clams,amphipods,worms
apr2007_S6_NCDOT,NCDOT,T14,,B1,2007/04/23 00:00:00,2007,spring,0,0,0,0,0,0,0
jul2007_C1_NCDOT,NCDOT,T05,,B1,2007/07/18 00:00:00,2007,summer,0,38,17,9,0,0,0
jul2007_C2_NCDOT,NCDOT,T05,,B1,2007/07/18 00:00:00,2007,summer,1,5,2,5,0,0,0
jul2007_C3_NCDOT,NCDOT,T04,,B1,2007/07/18 00:00:00,2007,summer,0,8,4,18,0,0,0
jul2007_C5_NCDOT,NCDOT,T03,,B1,2007/07/18 00:00:00,2007,summer,1,36,5,1,1,0,0
jul2007_S1_NCDOT,NCDOT,T16,,B1,2007/07/18 00:00:00,2007,summer,0,35,9,13,0,0,0
jul2007_S2_NCDOT,NCDOT,T16,,B1,2007/07/18 00:00:00,2007,summer,2,10,6,4,2,0,0
jul2007_S3_NCDOT,NCDOT,T15,,B1,2007/07/18 00:00:00,2007,summer,0,2,3,9,0,0,0
jul2007_S4_NCDOT,NCDOT,T15,,B1,2007/07/18 00:00:00,2007,summer,1,1,7,14,1,0,0
jul2007_S5_NCDOT,NCDOT,T14,,B1,2007/07/18 00:00:00,2007,summer,0,17,0,1,1,0,0
jul2007_S6_NCDOT,NCDOT,T14,,B1,2007/07/18 00:00:00,2007,summer,1,32,8,0,0,2,0
oct2007_C1_NCDOT,NCDOT,T05,,B1,2007/10/24 00:00:00,2007,autumn,1,4,12,5,0,0,0
oct2007_C2_NCDOT,NCDOT,T05,,B1,2007/10/24 00:00:00,2007,autumn,2,0,1,5,1,0,0
oct2007_C3_NCDOT,NCDOT,T04,,B1,2007/10/24 00:00:00,2007,autumn,3,4,11,3,0,0,0
oct2007_C5_NCDOT,NCDOT,T03,,B1,2007/10/24 00:00:00,2007,autumn,2,0,0,0,0,1,0
oct2007_S1_NCDOT,NCDOT,T16,,B1,2007/10/24 00:00:00,2007,autumn,1,6,48,29,7,9,0
oct2007_S2_NCDOT,NCDOT,T16,,B1,2007/10/24 00:00:00,2007,autumn,1,0,4,5,7,1,0
oct2007_S3_NCDOT,NCDOT,T15,,B1,2007/10/24 00:00:00,2007,autumn,2,3,1,6,3,1,0
oct2007_S4_NCDOT,NCDOT,T15,,B1,2007/10/24 00:00:00,2007,autumn,0,0,0,1,0,0,0
oct2007_S5_NCDOT,NCDOT,T14,,B1,2007/10/24 00:00:00,2007,autumn,3,0,0,7,0,0,0
oct2007_S6_NCDOT,NCDOT,T14,,B1,2007/10/24 00:00:00,2007,autumn,0,1,0,3,0,0,1
jan2008_C1_NCDOT,NCDOT,T05,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,1,0,0,0
jan2008_C2_NCDOT,NCDOT,T05,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_C3_NCDOT,NCDOT,T04,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,1,0,0,0
jan2008_C5_NCDOT,NCDOT,T03,,B1,2008/01/09 00:00:00,2008,winter,1,0,0,0,0,0,0
jan2008_S1_NCDOT,NCDOT,T16,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_S2_NCDOT,NCDOT,T16,,B1,2008/01/09 00:00:00,2008,winter,0,0,1,0,0,0,0
jan2008_S3_NCDOT,NCDOT,T15,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_S4_NCDOT,NCDOT,T15,,B1,2008/01/09 00:00:00,2008,winter,0,0,1,0,0,0,0
jan2008_S5_NCDOT,NCDOT,T14,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_S6_NCDOT,NCDOT,T14,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_C1_NCDOT,NCDOT,T05,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,1,0,0,0
jan2008_C2_NCDOT,NCDOT,T05,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_C3_NCDOT,NCDOT,T04,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,1,0,0,0
jan2008_C5_NCDOT,NCDOT,T03,,B1,2008/01/09 00:00:00,2008,winter,1,0,0,0,0,0,0
jan2008_S1_NCDOT,NCDOT,T16,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_S2_NCDOT,NCDOT,T16,,B1,2008/01/09 00:00:00,2008,winter,0,0,1,0,0,0,0
jan2008_S3_NCDOT,NCDOT,T15,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_S4_NCDOT,NCDOT,T15,,B1,2008/01/09 00:00:00,2008,winter,0,0,1,0,0,0,0
jan2008_S5_NCDOT,NCDOT,T14,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
jan2008_S6_NCDOT,NCDOT,T14,,B1,2008/01/09 00:00:00,2008,winter,0,0,0,0,0,0,0
apr2008_C1_NCDOT,NCDOT,T05,,B1,2008/04/30 00:00:00,2008,spring,0,0,1,2,0,0,0
apr2008_C2_NCDOT,NCDOT,T05,,B1,2008/04/30 00:00:00,2008,spring,5,0,0,0,0,0,0
apr2008_C3_NCDOT,NCDOT,T04,,B1,2008/04/30 00:00:00,2008,spring,1,0,0,0,0,0,0
apr2008_C5_NCDOT,NCDOT,T03,,B1,2008/04/30 00:00:00,2008,spring,2,0,0,0,0,0,0
apr2008_S1_NCDOT,NCDOT,T16,,B1,2008/04/30 00:00:00,2008,spring,1,0,1,0,0,0,0
apr2008_S2_NCDOT,NCDOT,T16,,B1,2008/04/30 00:00:00,2008,spring,1,0,0,1,0,0,0
apr2008_S3_NCDOT,NCDOT,T15,,B1,2008/04/30 00:00:00,2008,spring,0,0,2,0,0,0,0
apr2008_S4_NCDOT,NCDOT,T15,,B1,2008/04/30 00:00:00,2008,spring,1,0,3,0,0,0,0
apr2008_S5_NCDOT,NCDOT,T14,,B1,2008/04/30 00:00:00,2008,spring,2,0,1,0,0,0,0
apr2008_S6_NCDOT,NCDOT,T14,,B1,2008/04/30 00:00:00,2008,spring,1,0,0,0,0,0,0
jul2008_C1_NCDOT,NCDOT,T05,,B1,2008/07/23 00:00:00,2008,summer,4,10,22,6,0,0,0
jul2008_C2_NCDOT,NCDOT,T05,,B1,2008/07/23 00:00:00,2008,summer,1,6,3,4,0,0,0
jul2008_C3_NCDOT,NCDOT,T04,,B1,2008/07/23 00:00:00,2008,summer,1,30,23,7,0,0,0
jul2008_C5_NCDOT,NCDOT,T03,,B1,2008/07/23 00:00:00,2008,summer,3,29,6,14,1,0,0
jul2008_S1_NCDOT,NCDOT,T16,,B1,2008/07/23 00:00:00,2008,summer,0,4,8,4,0,0,0
jul2008_S2_NCDOT,NCDOT,T16,,B1,2008/07/23 00:00:00,2008,summer,1,0,6,1,1,0,0
jul2008_S3_NCDOT,NCDOT,T15,,B1,2008/07/23 00:00:00,2008,summer,2,0,3,3,0,0,0
jul2008_S4_NCDOT,NCDOT,T15,,B1,2008/07/23 00:00:00,2008,summer,0,5,1,7,2,0,0
jul2008_S5_NCDOT,NCDOT,T14,,B1,2008/07/23 00:00:00,2008,summer,0,6,20,5,1,0,0
jul2008_S6_NCDOT,NCDOT,T14,,B1,2008/07/23 00:00:00,2008,summer,1,14,11,2,3,0,0
oct2008_C1_NCDOT,NCDOT,T05,,B1,2008/10/13 00:00:00,2008,autumn,0,9,5,2,3,1,0
oct2008_C2_NCDOT,NCDOT,T05,,B1,2008/10/13 00:00:00,2008,autumn,1,0,1,2,0,0,0
oct2008_C3_NCDOT,NCDOT,T04,,B1,2008/10/13 00:00:00,2008,autumn,0,0,2,1,0,0,0
oct2008_C5_NCDOT,NCDOT,T03,,B1,2008/10/13 00:00:00,2008,autumn,2,0,0,2,1,0,0
oct2008_S1_NCDOT,NCDOT,T16,,B1,2008/10/13 00:00:00,2008,autumn,0,1,3,0,0,0,0
oct2008_S2_NCDOT,NCDOT,T16,,B1,2008/10/13 00:00:00,2008,autumn,0,0,2,2,0,0,0
oct2008_S3_NCDOT,NCDOT,T15,,B1,2008/10/13 00:00:00,2008,autumn,1,2,0,1,0,0,0
oct2008_S4_NCDOT,NCDOT,T15,,B1,2008/10/13 00:00:00,2008,autumn,2,0,1,0,0,0,0
oct2008_S5_NCDOT,NCDOT,T14,,B1,2008/10/13 00:00:00,2008,autumn,2,2,0,0,3,0,0
oct2008_S6_NCDOT,NCDOT,T14,,B1,2008/10/13 00:00:00,2008,autumn,3,1,10,9,2,0,0
jan2009_C1_NCDOT,NCDOT,T05,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,0,0,0,0
jan2009_C2_NCDOT,NCDOT,T05,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,1,0,0,0
jan2009_C3_NCDOT,NCDOT,T04,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,0,0,0,0
jan2009_C5_NCDOT,NCDOT,T03,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,0,0,0,0
jan2009_S1_NCDOT,NCDOT,T16,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,0,0,0,0
jan2009_S2_NCDOT,NCDOT,T16,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,1,0,0,0
jan2009_S3_NCDOT,NCDOT,T15,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,1,0,0,0
jan2009_S4_NCDOT,NCDOT,T15,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,0,0,0,0
jan2009_S5_NCDOT,NCDOT,T14,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,0,0,0,0
jan2009_S6_NCDOT,NCDOT,T14,,B1,2009/01/14 00:00:00,2009,winter,0,0,0,0,0,0,0
apr2009_C1_NCDOT,NCDOT,T05,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,0,0,0,0
apr2009_C2_NCDOT,NCDOT,T05,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,0,0,0,0
apr2009_C3_NCDOT,NCDOT,T04,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,0,0,0,0
apr2009_C5_NCDOT,NCDOT,T03,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,0,0,0,0
apr2009_S1_NCDOT,NCDOT,T16,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,0,0,0,0
apr2009_S2_NCDOT,NCDOT,T16,,B1,2009/04/08 00:00:00,2009,spring,0,0,1,0,0,0,0
apr2009_S3_NCDOT,NCDOT,T15,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,1,0,0,0
apr2009_S4_NCDOT,NCDOT,T15,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,0,0,0,0
apr2009_S5_NCDOT,NCDOT,T14,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,1,0,0,0
apr2009_S6_NCDOT,NCDOT,T14,,B1,2009/04/08 00:00:00,2009,spring,0,0,0,0,0,0,0
jul2009_C1_NCDOT,NCDOT,T05,,B1,2009/07/07 00:00:00,2009,summer,1,3,1,0,1,1,0
jul2009_C2_NCDOT,NCDOT,T05,,B1,2009/07/07 00:00:00,2009,summer,0,1,1,0,6,0,0
jul2009_C3_NCDOT,NCDOT,T04,,B1,2009/07/07 00:00:00,2009,summer,1,0,0,0,7,0,0
jul2009_C5_NCDOT,NCDOT,T03,,B1,2009/07/07 00:00:00,2009,summer,5,3,5,4,7,2,1
jul2009_S1_NCDOT,NCDOT,T16,,B1,2009/07/07 00:00:00,2009,summer,1,0,1,0,6,9,0
jul2009_S2_NCDOT,NCDOT,T16,,B1,2009/07/07 00:00:00,2009,summer,2,3,0,0,2,1,0
jul2009_S3_NCDOT,NCDOT,T15,,B1,2009/07/07 00:00:00,2009,summer,4,0,0,0,0,0,0
jul2009_S4_NCDOT,NCDOT,T15,,B1,2009/07/07 00:00:00,2009,summer,1,0,3,0,4,1,0
jul2009_S5_NCDOT,NCDOT,T14,,B1,2009/07/07 00:00:00,2009,summer,2,3,0,0,6,4,0
jul2009_S6_NCDOT,NCDOT,T14,,B1,2009/07/07 00:00:00,2009,summer,0,0,1,0,2,1,0
oct2009_C1_NCDOT,NCDOT,T05,,B1,2009/10/06 00:00:00,2009,autumn,1,1,8,5,0,0,1
oct2009_C2_NCDOT,NCDOT,T05,,B1,2009/10/06 00:00:00,2009,autumn,4,1,0,0,0,0,1
oct2009_C3_NCDOT,NCDOT,T04,,B1,2009/10/06 00:00:00,2009,autumn,2,3,11,5,3,0,4
oct2009_C5_NCDOT,NCDOT,T03,,B1,2009/10/06 00:00:00,2009,autumn,2,9,12,6,5,0,0
oct2009_S1_NCDOT,NCDOT,T16,,B1,2009/10/06 00:00:00,2009,autumn,0,1,4,2,4,1,4
oct2009_S2_NCDOT,NCDOT,T16,,B1,2009/10/06 00:00:00,2009,autumn,1,0,3,3,3,0,3
oct2009_S3_NCDOT,NCDOT,T15,,B1,2009/10/06 00:00:00,2009,autumn,0,0,1,0,6,0,0
oct2009_S4_NCDOT,NCDOT,T15,,B1,2009/10/06 00:00:00,2009,autumn,1,1,2,0,0,0,1
oct2009_S5_NCDOT,NCDOT,T14,,B1,2009/10/06 00:00:00,2009,autumn,0,0,0,1,1,0,1
oct2009_S6_NCDOT,NCDOT,T14,,B1,2009/10/06 00:00:00,2009,autumn,4,0,0,0,0,0,1
apr2010_C1_NCDOT,NCDOT,T05,,B1,2010/04/06 00:00:00,2010,spring,0,0,1,0,0,0,0
apr2010_C2_NCDOT,NCDOT,T05,,B1,2010/04/06 00:00:00,2010,spring,2,0,1,1,0,0,0
apr2010_C3_NCDOT,NCDOT,T04,,B1,2010/04/06 00:00:00,2010,spring,1,0,0,0,0,0,0
apr2010_C5_NCDOT,NCDOT,T03,,B1,2010/04/06 00:00:00,2010,spring,9,0,0,2,0,1,0
apr2010_S1_NCDOT,NCDOT,T16,,B1,2010/04/06 00:00:00,2010,spring,0,0,0,0,0,0,0
apr2010_S2_NCDOT,NCDOT,T16,,B1,2010/04/06 00:00:00,2010,spring,0,0,1,0,0,0,0
apr2010_S3_NCDOT,NCDOT,T15,,B1,2010/04/06 00:00:00,2010,spring,0,0,1,0,0,0,0
apr2010_S4_NCDOT,NCDOT,T15,,B1,2010/04/06 00:00:00,2010,spring,0,0,0,1,0,0,0
apr2010_S5_NCDOT,NCDOT,T14,,B1,2010/04/06 00:00:00,2010,spring,0,0,0,1,0,0,0
apr2010_S6_NCDOT,NCDOT,T14,,B1,2010/04/06 00:00:00,2010,spring,0,0,0,0,0,0,0
jul2010_C1_NCDOT,NCDOT,T05,,B1,2010/07/15 00:00:00,2010,summer,0,0,0,0,2,6,2
jul2010_C2_NCDOT,NCDOT,T05,,B1,2010/07/15 00:00:00,2010,summer,3,0,0,2,8,5,0
jul2010_C3_NCDOT,NCDOT,T04,,B1,2010/07/15 00:00:00,2010,summer,0,0,0,6,13,1,0
jul2010_C5_NCDOT,NCDOT,T03,,B1,2010/07/15 00:00:00,2010,summer,7,0,0,4,0,6,0
jul2010_S1_NCDOT,NCDOT,T16,,B1,2010/07/15 00:00:00,2010,summer,0,0,0,2,5,3,5
jul2010_S2_NCDOT,NCDOT,T16,,B1,2010/07/15 00:00:00,2010,summer,0,0,0,5,0,1,5
jul2010_S3_NCDOT,NCDOT,T15,,B1,2010/07/15 00:00:00,2010,summer,2,0,0,1,1,0,33
jul2010_S4_NCDOT,NCDOT,T15,,B1,2010/07/15 00:00:00,2010,summer,1,0,0,0,1,8,0
jul2010_S5_NCDOT,NCDOT,T14,,B1,2010/07/15 00:00:00,2010,summer,1,0,0,0,2,2,0
jul2010_S6_NCDOT,NCDOT,T14,,B1,2010/07/15 00:00:00,2010,summer,2,0,1,31,0,4,32
oct2010_C1_NCDOT,NCDOT,T05,,B1,2010/10/07 00:00:00,2010,autumn,0,0,7,0,0,0,0
oct2010_C2_NCDOT,NCDOT,T05,,B1,2010/10/07 00:00:00,2010,autumn,1,0,4,0,1,0,0
oct2010_C3_NCDOT,NCDOT,T04,,B1,2010/10/07 00:00:00,2010,autumn,0,0,0,0,0,0,0
oct2010_C5_NCDOT,NCDOT,T03,,B1,2010/10/07 00:00:00,2010,autumn,1,2,2,1,0,0,0
oct2010_S1_NCDOT,NCDOT,T16,,B1,2010/10/07 00:00:00,2010,autumn,0,1,5,0,18,0,0
oct2010_S2_NCDOT,NCDOT,T16,,B1,2010/10/07 00:00:00,2010,autumn,0,0,1,1,1,0,0
oct2010_S3_NCDOT,NCDOT,T15,,B1,2010/10/07 00:00:00,2010,autumn,0,12,9,0,3,0,0
oct2010_S4_NCDOT,NCDOT,T15,,B1,2010/10/07 00:00:00,2010,autumn,2,16,8,2,4,0,0
oct2010_S5_NCDOT,NCDOT,T14,,B1,2010/10/07 00:00:00,2010,autumn,2,12,1,0,0,0,0
oct2010_S6_NCDOT,NCDOT,T14,,B1,2010/10/07 00:00:00,2010,autumn,1,20,1,0,3,0,0
jan2011_C1_NCDOT,NCDOT,T05,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_C2_NCDOT,NCDOT,T05,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_C3_NCDOT,NCDOT,T04,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_C5_NCDOT,NCDOT,T03,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_S1_NCDOT,NCDOT,T16,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_S2_NCDOT,NCDOT,T16,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_S3_NCDOT,NCDOT,T15,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_S4_NCDOT,NCDOT,T15,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_S5_NCDOT,NCDOT,T14,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
jan2011_S6_NCDOT,NCDOT,T14,,B1,2011/01/27 00:00:00,2011,winter,0,0,0,0,0,0,0
apr2011_C1_NCDOT,NCDOT,T05,,B1,2011/04/11 00:00:00,2011,spring,0,0,4,0,0,0,0
apr2011_C2_NCDOT,NCDOT,T05,,B1,2011/04/11 00:00:00,2011,spring,0,0,4,0,0,0,0
apr2011_C3_NCDOT,NCDOT,T04,,B1,2011/04/11 00:00:00,2011,spring,1,0,1,1,0,0,0
apr2011_C5_NCDOT,NCDOT,T03,,B1,2011/04/11 00:00:00,2011,spring,1,0,1,2,0,0,0
apr2011_S1_NCDOT,NCDOT,T16,,B1,2011/04/11 00:00:00,2011,spring,0,0,1,0,0,0,0
apr2011_S2_NCDOT,NCDOT,T16,,B1,2011/04/11 00:00:00,2011,spring,0,1,2,0,0,0,0
apr2011_S3_NCDOT,NCDOT,T15,,B1,2011/04/11 00:00:00,2011,spring,0,0,0,2,0,0,0
apr2011_S4_NCDOT,NCDOT,T15,,B1,2011/04/11 00:00:00,2011,spring,0,0,0,0,0,0,0
apr2011_S5_NCDOT,NCDOT,T14,,B1,2011/04/11 00:00:00,2011,spring,0,0,0,0,0,0,0
apr2011_S6_NCDOT,NCDOT,T14,,B1,2011/04/11 00:00:00,2011,spring,0,0,0,0,0,0,0
jul2011_C1_NCDOT,NCDOT,T05,,B1,2011/07/12 00:00:00,2011,summer,1,0,1,0,28,0,1
jul2011_C2_NCDOT,NCDOT,T05,,B1,2011/07/12 00:00:00,2011,summer,0,0,3,4,5,3,4
jul2011_C3_NCDOT,NCDOT,T04,,B1,2011/07/12 00:00:00,2011,summer,1,1,1,1,33,11,3
jul2011_C5_NCDOT,NCDOT,T03,,B1,2011/07/12 00:00:00,2011,summer,2,1,0,0,4,6,0
jul2011_S1_NCDOT,NCDOT,T16,,B1,2011/07/12 00:00:00,2011,summer,0,4,1,2,52,6,0
jul2011_S2_NCDOT,NCDOT,T16,,B1,2011/07/12 00:00:00,2011,summer,0,0,0,3,35,1,0
jul2011_S3_NCDOT,NCDOT,T15,,B1,2011/07/12 00:00:00,2011,summer,1,1,2,7,6,0,0
jul2011_S4_NCDOT,NCDOT,T15,,B1,2011/07/12 00:00:00,2011,summer,0,5,1,3,3,1,0
jul2011_S5_NCDOT,NCDOT,T14,,B1,2011/07/12 00:00:00,2011,summer,0,2,4,2,7,0,0
jul2011_S6_NCDOT,NCDOT,T14,,B1,2011/07/12 00:00:00,2011,summer,0,0,0,1,34,3,7
oct2011_C1_NCDOT,NCDOT,T05,,B1,2011/10/25 00:00:00,2011,autumn,0,6,1,4,0,0,0
oct2011_C2_NCDOT,NCDOT,T05,,B1,2011/10/25 00:00:00,2011,autumn,1,1,11,3,0,0,0
oct2011_C3_NCDOT,NCDOT,T04,,B1,2011/10/25 00:00:00,2011,autumn,1,5,9,7,0,0,0
oct2011_C5_NCDOT,NCDOT,T03,,B1,2011/10/25 00:00:00,2011,autumn,0,6,2,0,1,0,0
oct2011_S1_NCDOT,NCDOT,T16,,B1,2011/10/25 00:00:00,2011,autumn,0,7,9,2,0,0,0
oct2011_S2_NCDOT,NCDOT,T16,,B1,2011/10/25 00:00:00,2011,autumn,0,4,2,3,0,0,0
oct2011_S3_NCDOT,NCDOT,T15,,B1,2011/10/25 00:00:00,2011,autumn,0,5,2,1,0,0,0
oct2011_S4_NCDOT,NCDOT,T15,,B1,2011/10/25 00:00:00,2011,autumn,0,6,4,1,0,0,0
oct2011_S5_NCDOT,NCDOT,T14,,B1,2011/10/25 00:00:00,2011,autumn,1,9,14,1,0,0,0
oct2011_S6_NCDOT,NCDOT,T14,,B1,2011/10/25 00:00:00,2011,autumn,1,6,4,3,0,0,2
jan2012_NT87_NCDOT,NCDOT,C11,,B1,2012/01/11 00:00:00,2012,winter,0,0,0,0,0,0,0
jan2012_NT89_NCDOT,NCDOT,C07,,B1,2012/01/11 00:00:00,2012,winter,0,0,1,2,0,0,0
jan2012_NT91_NCDOT,NCDOT,C05,,B1,2012/01/11 00:00:00,2012,winter,0,0,0,0,0,0,0
jan2012_NT93_NCDOT,NCDOT,C03,,B1,2012/01/11 00:00:00,2012,winter,0,0,0,0,0,0,0
jan2012_NT95_NCDOT,NCDOT,C01,,B1,2012/01/11 00:00:00,2012,winter,0,0,0,0,0,0,0
jan2012_NT101_NCDOT,NCDOT,T02,,B1,2012/01/11 00:00:00,2012,winter,0,0,2,0,0,0,0
jan2012_NT103_NCDOT,NCDOT,T04,,B1,2012/01/11 00:00:00,2012,winter,0,0,0,0,0,0,0
jan2012_NT105_NCDOT,NCDOT,T06,,B1,2012/01/11 00:00:00,2012,winter,0,0,0,1,0,0,0
jan2012_NT107_NCDOT,NCDOT,T07,,B1,2012/01/11 00:00:00,2012,winter,0,0,1,0,0,0,0
jan2012_NT109_NCDOT,NCDOT,T09,,B1,2012/01/11 00:00:00,2012,winter,0,0,0,0,0,0,0
jan2012_NT111_NCDOT,NCDOT,T11,,B1,2012/01/11 00:00:00,2012,winter,0,0,1,0,0,0,0
jan2012_NT113_NCDOT,NCDOT,T13,,B1,2012/01/11 00:00:00,2012,winter,0,1,0,0,0,2,0
jan2012_NT115_NCDOT,NCDOT,T15,,B1,2012/01/11 00:00:00,2012,winter,0,1,0,0,0,0,0
apr2012_C11,NCDOT,C11,NT59,B1,2012/04/17 00:00:00,2012,spring,4,0,0,0,0,0,0
apr2012_C09,NCDOT,C09,NT60,B1,2012/04/17 00:00:00,2012,spring,1,0,0,0,0,0,0
apr2012_C07,NCDOT,C07,NT61,B1,2012/04/17 00:00:00,2012,spring,2,0,1,0,0,1,0
apr2012_C05,NCDOT,C05,NT62,B1,2012/04/17 00:00:00,2012,spring,1,0,2,0,0,0,0
apr2012_C03,NCDOT,C03,NT63,B1,2012/04/17 00:00:00,2012,spring,2,0,0,0,0,0,0
apr2012_C01,NCDOT,C01,NT64,B1,2012/04/17 00:00:00,2012,spring,2,0,0,2,0,1,0
apr2012_T03,NCDOT,T03,NT67,B1,2012/04/17 00:00:00,2012,spring,3,0,0,0,0,0,0
apr2012_T05,NCDOT,T05,NT68,B1,2012/04/17 00:00:00,2012,spring,3,0,1,2,0,0,0
apr2012_T07,NCDOT,T07,NT69,B1,2012/04/17 00:00:00,2012,spring,1,0,1,2,0,1,0
apr2012_T09,NCDOT,T09,NT70,B1,2012/04/17 00:00:00,2012,spring,2,0,3,0,0,0,0
apr2012_T11,NCDOT,T11,NT71,B1,2012/04/17 00:00:00,2012,spring,1,0,0,0,0,1,0
apr2012_T13,NCDOT,T13,NT72,B1,2012/04/17 00:00:00,2012,spring,2,0,1,0,1,0,0
apr2012_T15,NCDOT,T15,NT73,B1,2012/04/17 00:00:00,2012,spring,3,0,2,2,0,0,0
apr2012_T16,NCDOT,T16,NT74,B1,2012/04/17 00:00:00,2012,spring,3,0,0,0,0,1,0
jul2012_C11,NCDOT,C11,NT59,B1,2012/07/12 00:00:00,2012,summer,2,18,6,4,0,1,0
jul2012_C09,NCDOT,C09,NT60,B1,2012/07/12 00:00:00,2012,summer,2,8,8,6,3,3,0
jul2012_C07,NCDOT,C07,NT61,B1,2012/07/12 00:00:00,2012,summer,1,13,4,9,0,0,0
