transect_id,sheet_ID,sample_dat,area,year,season,latitude,longitude,transect_I,sample_ID,image_ID,light_dark,count,total_area,avg_size,percent_ar,mean
jul2014_C01C,jul2014_C01_S3_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S3,I2,D,18,0.311,0.017,0.159,255
jul2014_C01C,jul2014_C01_S3_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S3,I2,L,336,39.275,0.117,20.03,255
jul2014_C01C,jul2014_C01_S3_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S3,I3,D,5,0.12,0.024,0.061,255
jul2014_C01C,jul2014_C01_S3_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S3,I3,L,268,51.515,0.192,26.273,255
jul2014_C01C,jul2014_C01_S4_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S4,I1,D,13,0.451,0.035,0.23,255
jul2014_C01C,jul2014_C01_S4_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S4,I1,L,362,40.195,0.111,20.5,255
jul2014_C01C,jul2014_C01_S4_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S4,I2,D,8,0.262,0.033,0.133,255
jul2014_C01C,jul2014_C01_S4_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S4,I2,L,315,54.692,0.174,27.893,255
jul2014_C01C,jul2014_C01_S4_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S4,I3,D,16,0.406,0.025,0.207,255
jul2014_C01C,jul2014_C01_S4_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63612,-75.46992,C01,S4,I3,L,289,47.199,0.163,24.072,255
jul2014_C02C,jul2014_C02_S1_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S1,I1,D,4,0.184,0.046,0.094,255
jul2014_C02C,jul2014_C02_S1_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S1,I1,L,203,50.959,0.251,25.99,255
jul2014_C02C,jul2014_C02_S1_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S1,I2,D,7,0.097,0.014,0.049,255
jul2014_C02C,jul2014_C02_S1_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S1,I2,L,240,38.001,0.158,19.381,255
jul2014_C02C,jul2014_C02_S1_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S1,I3,D,5,0.69,0.138,0.352,255
jul2014_C02C,jul2014_C02_S1_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S1,I3,L,278,45.782,0.165,23.349,255
jul2014_C02C,jul2014_C02_S2_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S2,I1,D,11,0.277,0.025,0.141,255
jul2014_C02C,jul2014_C02_S2_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S2,I1,L,317,58.534,0.185,29.853,255
jul2014_C02C,jul2014_C02_S2_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S2,I2,D,8,0.339,0.042,0.173,255
jul2014_C02C,jul2014_C02_S2_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S2,I2,L,307,58.934,0.192,30.057,255
jul2014_C02C,jul2014_C02_S2_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S2,I3,D,1,0.013,0.013,0.007,255
jul2014_C02C,jul2014_C02_S2_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S2,I3,L,238,46.902,0.197,23.92,255
jul2014_C02C,jul2014_C02_S3_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S3,I1,D,12,0.281,0.023,0.143,255
jul2014_C02C,jul2014_C02_S3_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S3,I1,L,379,41.361,0.109,21.094,255
jul2014_C02C,jul2014_C02_S3_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S3,I2,D,14,0.352,0.025,0.18,255
jul2014_C02C,jul2014_C02_S3_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S3,I2,L,416,56.505,0.136,28.818,255
jul2014_C02C,jul2014_C02_S3_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S3,I3,D,7,0.161,0.023,0.082,255
jul2014_C02C,jul2014_C02_S3_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S3,I3,L,326,45.194,0.139,23.049,255
jul2014_C02C,jul2014_C02_S4_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S4,I1,D,6,0.33,0.055,0.168,255
jul2014_C02C,jul2014_C02_S4_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S4,I1,L,341,57.483,0.169,29.317,255
jul2014_C02C,jul2014_C02_S4_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S4,I2,D,11,0.369,0.034,0.188,255
jul2014_C02C,jul2014_C02_S4_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S4,I2,L,280,46.925,0.168,23.932,255
jul2014_C02C,jul2014_C02_S4_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S4,I3,D,8,0.558,0.07,0.284,255
jul2014_C02C,jul2014_C02_S4_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.63762,-75.4701,C02,S4,I3,L,233,45.037,0.193,22.969,255
jul2014_C03C,jul2014_C03_S1_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S1,I1,D,4,0.079,0.02,0.04,255
jul2014_C03C,jul2014_C03_S1_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S1,I1,L,185,54.416,0.294,27.753,255
jul2014_C03C,jul2014_C03_S1_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S1,I2,D,3,0.062,0.021,0.032,255
jul2014_C03C,jul2014_C03_S1_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S1,I2,L,221,45.349,0.205,23.128,255
jul2014_C03C,jul2014_C03_S1_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S1,I3,D,6,0.217,0.036,0.111,255
jul2014_C03C,jul2014_C03_S1_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S1,I3,L,208,51.693,0.249,26.364,255
jul2014_C03C,jul2014_C03_S2_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S2,I1,D,3,0.09,0.03,0.046,255
jul2014_C03C,jul2014_C03_S2_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S2,I1,L,146,41.938,0.287,21.389,255
jul2014_C03C,jul2014_C03_S2_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S2,I2,D,7,0.187,0.027,0.095,255
jul2014_C03C,jul2014_C03_S2_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S2,I2,L,170,61.425,0.361,31.327,255
jul2014_C03C,jul2014_C03_S2_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S2,I3,D,2,0.043,0.021,0.022,255
jul2014_C03C,jul2014_C03_S2_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S2,I3,L,241,59.212,0.246,30.198,255
jul2014_C03C,jul2014_C03_S3_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S3,I1,D,7,0.293,0.042,0.149,255
jul2014_C03C,jul2014_C03_S3_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S3,I1,L,381,51.16,0.134,26.092,255
jul2014_C03C,jul2014_C03_S3_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S3,I2,D,7,0.17,0.024,0.087,255
jul2014_C03C,jul2014_C03_S3_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S3,I2,L,384,44.625,0.116,22.759,255
jul2014_C03C,jul2014_C03_S3_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S3,I3,D,7,0.194,0.028,0.099,255
jul2014_C03C,jul2014_C03_S3_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S3,I3,L,320,43.449,0.136,22.159,255
jul2014_C03C,jul2014_C03_S4_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S4,I1,D,11,0.455,0.041,0.232,255
jul2014_C03C,jul2014_C03_S4_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S4,I1,L,218,37.506,0.172,19.128,255
jul2014_C03C,jul2014_C03_S4_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S4,I2,D,14,0.402,0.029,0.205,255
jul2014_C03C,jul2014_C03_S4_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S4,I2,L,237,59.332,0.25,30.259,255
jul2014_C03C,jul2014_C03_S4_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S4,I3,D,10,0.226,0.023,0.115,255
jul2014_C03C,jul2014_C03_S4_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.639,-75.47036,C03,S4,I3,L,196,49.481,0.252,25.236,255
jul2014_C04C,jul2014_C04_S1_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S1,I1,D,9,0.394,0.044,0.201,255
jul2014_C04C,jul2014_C04_S1_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S1,I1,L,218,55.009,0.252,28.055,255
jul2014_C04C,jul2014_C04_S1_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S1,I2,D,5,0.446,0.089,0.227,255
jul2014_C04C,jul2014_C04_S1_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S1,I2,L,220,44.125,0.201,22.504,255
jul2014_C04C,jul2014_C04_S1_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S1,I3,D,4,0.078,0.02,0.04,255
jul2014_C04C,jul2014_C04_S1_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S1,I3,L,199,54.757,0.275,27.926,255
jul2014_C04C,jul2014_C04_S2_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S2,I1,D,8,0.169,0.021,0.086,255
jul2014_C04C,jul2014_C04_S2_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S2,I1,L,236,39.056,0.165,19.919,255
jul2014_C04C,jul2014_C04_S2_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S2,I2,D,8,0.318,0.04,0.162,255
jul2014_C04C,jul2014_C04_S2_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S2,I2,L,249,58.499,0.235,29.835,255
jul2014_C04C,jul2014_C04_S2_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S2,I3,D,8,0.163,0.02,0.083,255
jul2014_C04C,jul2014_C04_S2_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S2,I3,L,220,57.048,0.259,29.095,255
jul2014_C04C,jul2014_C04_S3_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S3,I1,D,12,0.301,0.025,0.153,255
jul2014_C04C,jul2014_C04_S3_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S3,I1,L,326,47.515,0.146,24.233,255
jul2014_C04C,jul2014_C04_S3_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S3,I2,D,15,0.374,0.025,0.191,255
jul2014_C04C,jul2014_C04_S3_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S3,I2,L,356,47.293,0.133,24.12,255
jul2014_C04C,jul2014_C04_S3_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S3,I3,D,13,0.31,0.024,0.158,255
jul2014_C04C,jul2014_C04_S3_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S3,I3,L,349,50.985,0.146,26.003,255
jul2014_C04C,jul2014_C04_S4_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S4,I1,D,7,0.288,0.041,0.147,255
jul2014_C04C,jul2014_C04_S4_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S4,I1,L,155,69.843,0.451,35.62,255
jul2014_C04C,jul2014_C04_S4_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S4,I2,D,18,0.407,0.023,0.208,255
jul2014_C04C,jul2014_C04_S4_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S4,I2,L,258,68.721,0.266,35.048,255
jul2014_C04C,jul2014_C04_S4_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S4,I3,D,9,0.476,0.053,0.243,255
jul2014_C04C,jul2014_C04_S4_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64043,-75.47065,C04,S4,I3,L,259,52.774,0.204,26.915,255
jul2014_C06C,jul2014_C06_S1_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S1,I1,D,2,0.191,0.095,0.097,255
jul2014_C06C,jul2014_C06_S1_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S1,I1,L,182,48.017,0.264,24.489,255
jul2014_C06C,jul2014_C06_S1_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S1,I2,D,4,0.152,0.038,0.078,255
jul2014_C06C,jul2014_C06_S1_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S1,I2,L,182,46.912,0.258,23.926,255
jul2014_C06C,jul2014_C06_S1_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S1,I3,D,4,0.076,0.019,0.039,255
jul2014_C06C,jul2014_C06_S1_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S1,I3,L,220,47.856,0.218,24.407,255
jul2014_C06C,jul2014_C06_S2_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S2,I1,D,4,0.249,0.062,0.127,255
jul2014_C06C,jul2014_C06_S2_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S2,I1,L,204,57.904,0.284,29.531,255
jul2014_C06C,jul2014_C06_S2_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S2,I2,D,10,0.332,0.033,0.169,255
jul2014_C06C,jul2014_C06_S2_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S2,I2,L,240,43.446,0.181,22.158,255
jul2014_C06C,jul2014_C06_S2_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S2,I3,D,6,0.188,0.031,0.096,255
jul2014_C06C,jul2014_C06_S2_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S2,I3,L,250,45.975,0.184,23.448,255
jul2014_C06C,jul2014_C06_S3_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S3,I1,D,12,0.339,0.028,0.173,255
jul2014_C06C,jul2014_C06_S3_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S3,I1,L,280,49.02,0.175,25,255
jul2014_C06C,jul2014_C06_S3_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S3,I2,D,6,0.32,0.053,0.163,255
jul2014_C06C,jul2014_C06_S3_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S3,I2,L,287,52.649,0.183,26.852,255
jul2014_C06C,jul2014_C06_S3_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S3,I3,D,10,0.302,0.03,0.154,255
jul2014_C06C,jul2014_C06_S3_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S3,I3,L,272,46.627,0.171,23.78,255
jul2014_C06C,jul2014_C06_S4_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S4,I1,D,16,0.558,0.035,0.285,255
jul2014_C06C,jul2014_C06_S4_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S4,I1,L,214,44.034,0.206,22.458,255
jul2014_C06C,jul2014_C06_S4_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S4,I2,D,15,0.405,0.027,0.207,255
jul2014_C06C,jul2014_C06_S4_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S4,I2,L,217,52.905,0.244,26.982,255
jul2014_C06C,jul2014_C06_S4_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S4,I3,D,14,0.337,0.024,0.172,255
jul2014_C06C,jul2014_C06_S4_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64325,-75.47125,C06,S4,I3,L,213,62.1,0.292,31.671,255
jul2014_C07C,jul2014_C07_S1_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S1,I1,D,2,0.075,0.037,0.038,255
jul2014_C07C,jul2014_C07_S1_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S1,I1,L,130,56.511,0.435,28.821,255
jul2014_C07C,jul2014_C07_S1_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S1,I2,D,8,0.172,0.022,0.088,255
jul2014_C07C,jul2014_C07_S1_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S1,I2,L,159,39.65,0.249,20.222,255
jul2014_C07C,jul2014_C07_S1_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S1,I3,D,8,0.205,0.026,0.105,255
jul2014_C07C,jul2014_C07_S1_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S1,I3,L,163,53.21,0.326,27.137,255
jul2014_C07C,jul2014_C07_S2_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S2,I1,D,4,0.128,0.032,0.065,255
jul2014_C07C,jul2014_C07_S2_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S2,I1,L,165,48.824,0.296,24.9,255
jul2014_C07C,jul2014_C07_S2_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S2,I2,D,2,0.029,0.015,0.015,255
jul2014_C07C,jul2014_C07_S2_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S2,I2,L,216,53.729,0.249,27.402,255
jul2014_C07C,jul2014_C07_S2_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S2,I3,D,4,0.087,0.022,0.044,255
jul2014_C07C,jul2014_C07_S2_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S2,I3,L,230,51.816,0.225,26.427,255
jul2014_C07C,jul2014_C07_S3_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S3,I1,D,5,0.141,0.028,0.072,255
jul2014_C07C,jul2014_C07_S3_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S3,I1,L,276,56.323,0.204,28.725,255
jul2014_C07C,jul2014_C07_S3_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S3,I2,D,6,0.149,0.025,0.076,255
jul2014_C07C,jul2014_C07_S3_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S3,I2,L,287,44.218,0.154,22.552,255
jul2014_C07C,jul2014_C07_S3_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S3,I3,D,6,0.137,0.023,0.07,255
jul2014_C07C,jul2014_C07_S3_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S3,I3,L,252,41.179,0.163,21.002,255
jul2014_C07C,jul2014_C07_S4_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S4,I1,D,10,0.163,0.016,0.083,255
jul2014_C07C,jul2014_C07_S4_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S4,I1,L,201,38.827,0.193,19.802,255
jul2014_C07C,jul2014_C07_S4_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S4,I2,D,10,0.209,0.021,0.107,255
jul2014_C07C,jul2014_C07_S4_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S4,I2,L,227,53.71,0.237,27.393,255
jul2014_C07C,jul2014_C07_S4_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S4,I3,D,16,0.474,0.03,0.242,255
jul2014_C07C,jul2014_C07_S4_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.64466,-75.47165,C07,S4,I3,L,248,59.798,0.241,30.497,255
jul2014_C08C,jul2014_C08_S1_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S1,I1,D,4,0.203,0.051,0.103,255
jul2014_C08C,jul2014_C08_S1_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S1,I1,L,126,55.784,0.443,28.45,255
jul2014_C08C,jul2014_C08_S1_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S1,I2,D,5,0.17,0.034,0.087,255
jul2014_C08C,jul2014_C08_S1_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S1,I2,L,114,50.23,0.441,25.617,255
jul2014_C08C,jul2014_C08_S1_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S1,I3,D,8,0.199,0.025,0.101,255
jul2014_C08C,jul2014_C08_S1_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S1,I3,L,115,68.804,0.598,35.09,255
jul2014_C08C,jul2014_C08_S2_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S2,I1,D,4,0.329,0.082,0.168,255
jul2014_C08C,jul2014_C08_S2_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S2,I1,L,163,39.809,0.244,20.303,255
jul2014_C08C,jul2014_C08_S2_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S2,I2,D,4,0.269,0.067,0.137,255
jul2014_C08C,jul2014_C08_S2_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S2,I2,L,179,49.037,0.274,25.009,255
jul2014_C08C,jul2014_C08_S2_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S2,I3,D,3,0.174,0.058,0.089,255
jul2014_C08C,jul2014_C08_S2_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S2,I3,L,238,39.913,0.168,20.356,255
jul2014_C08C,jul2014_C08_S3_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S3,I1,D,2,0.028,0.014,0.015,255
jul2014_C08C,jul2014_C08_S3_I1_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S3,I1,L,186,46.337,0.249,23.632,255
jul2014_C08C,jul2014_C08_S3_I2_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S3,I2,D,3,0.08,0.027,0.041,255
jul2014_C08C,jul2014_C08_S3_I2_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S3,I2,L,152,43.223,0.284,22.044,255
jul2014_C08C,jul2014_C08_S3_I3_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S3,I3,D,4,0.111,0.028,0.057,255
jul2014_C08C,jul2014_C08_S3_I3_L,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S3,I3,L,182,48.767,0.268,24.872,255
jul2014_C08C,jul2014_C08_S4_I1_D,2014/07/14 00:00:00,Control,2014,summer,35.6461,-75.47203,C08,S4,I1,D,4,0.099,0.025,0.051,255
